SYMBOL,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,SETTLE_PR,TIMESTAMP
ACC,1751.8,1796.0,1751.8,1768.7,1768.7,2788.0,19789.98,1150000.0,-24800.0,1768.7,11-Aug-17
ADANIENT,113.9,116.2,106.7,113.95,113.95,2979.0,26870.09,24256000.0,40000.0,113.95,11-Aug-17
ADANIPORTS,382.9,387.45,380.75,385.2,385.2,2894.0,27793.65,6917500.0,85000.0,385.2,11-Aug-17
ADANIPOWER,27.5,28.15,26.1,27.3,27.3,1138.0,6192.44,94160000.0,-180000.0,27.3,11-Aug-17
AJANTPHARM,1207.0,1249.95,1203.4,1229.0,1229.0,816.0,4011.98,557600.0,-11600.0,1229.0,11-Aug-17
ALBK,64.8,67.55,63.15,64.85,64.85,2918.0,19095.29,15540000.0,270000.0,64.85,11-Aug-17
AMARAJABAT,795.0,813.05,786.4,803.45,803.45,957.0,4596.04,1458000.0,-96000.0,803.45,11-Aug-17
AMBUJACEM,267.7,269.8,263.8,264.65,264.65,1380.0,9202.05,9030000.0,82500.0,264.65,11-Aug-17
ANDHRABANK,50.7,51.45,49.1,49.6,49.6,1804.0,9056.72,23530000.0,-450000.0,49.6,11-Aug-17
APOLLOHOSP,1204.05,1239.05,1198.0,1221.05,1221.05,805.0,4935.51,1098500.0,6000.0,1221.05,11-Aug-17
APOLLOTYRE,259.1,263.5,253.25,258.45,258.45,4376.0,33959.05,11412000.0,-375000.0,258.45,11-Aug-17
ARVIND,364.9,373.9,358.3,366.6,366.6,2901.0,21280.46,6234000.0,-222000.0,366.6,11-Aug-17
ASHOKLEY,101.3,106.0,99.15,103.1,103.1,5249.0,37903.34,44667000.0,-1099000.0,103.1,11-Aug-17
ASIANPAINT,1144.4,1152.15,1123.85,1145.05,1145.05,3026.0,20647.77,2668200.0,126000.0,1145.05,11-Aug-17
AUROPHARMA,677.95,712.3,673.0,707.3,707.3,10950.0,60895.66,12508800.0,-44800.0,707.3,11-Aug-17
AXISBANK,484.95,494.75,481.0,491.85,491.85,13375.0,78536.25,31992000.0,-583200.0,491.85,11-Aug-17
BAJAJ-AUTO,2794.75,2806.1,2760.7,2797.1,2797.1,1951.0,13586.11,1151250.0,-4750.0,2797.1,11-Aug-17
BAJAJFINSV,4963.0,5189.95,4920.0,5015.95,5015.95,2982.0,18861.13,378625.0,31375.0,5015.95,11-Aug-17
BAJFINANCE,1621.1,1734.5,1596.85,1697.25,1697.25,15298.0,128633.6,3571500.0,-49500.0,1697.25,11-Aug-17
BALKRISIND,1481.35,1525.65,1455.0,1509.1,1509.1,397.0,2372.94,510400.0,-9600.0,1509.1,11-Aug-17
BALRAMCHIN,159.1,167.55,155.7,165.65,165.65,1667.0,9494.45,11910500.0,-577500.0,165.65,11-Aug-17
BANKBARODA,146.7,150.85,141.25,142.85,142.85,11935.0,60899.64,52818500.0,-224000.0,142.85,11-Aug-17
BANKINDIA,144.35,149.9,140.25,143.65,143.65,6413.0,55837.5,18174000.0,-1152000.0,143.65,11-Aug-17
BATAINDIA,627.5,644.95,620.15,637.05,637.05,2855.0,20018.27,2857800.0,-185900.0,637.05,11-Aug-17
BEL,165.65,171.3,161.0,170.15,170.15,2081.0,15644.79,16672500.0,-1039500.0,170.15,11-Aug-17
BEML,1485.8,1594.0,1445.2,1554.2,1554.2,5652.0,51904.61,1698600.0,-40200.0,1554.2,11-Aug-17
BERGEPAINT,246.3,248.0,231.65,239.35,239.35,724.0,3836.25,1091200.0,162800.0,239.35,11-Aug-17
BHARATFIN,760.0,794.0,756.55,787.15,787.15,5719.0,44512.11,11124000.0,9000.0,787.15,11-Aug-17
BHARATFORG,1142.3,1178.65,1135.95,1164.7,1164.7,5104.0,35512.96,4645200.0,-39600.0,1164.7,11-Aug-17
BHARTIARTL,417.35,420.2,411.75,416.2,416.2,3064.0,21679.9,29955700.0,-567800.0,416.2,11-Aug-17
BHEL,123.25,125.05,120.8,124.35,124.35,3268.0,20163.81,33105000.0,-1205000.0,124.35,11-Aug-17
BIOCON,325.05,347.6,325.05,342.0,342.0,3419.0,20858.22,10584000.0,169200.0,342.0,11-Aug-17
BOSCHLTD,23599.95,23671.5,22278.6,22637.45,22637.45,2746.0,15650.27,89175.0,1400.0,22637.45,11-Aug-17
BPCL,476.0,493.6,473.55,486.65,486.65,4099.0,35813.18,12492000.0,3600.0,486.65,11-Aug-17
BRITANNIA,4094.95,4157.95,4077.0,4113.45,4113.45,963.0,7912.33,424600.0,-16400.0,4113.45,11-Aug-17
CADILAHC,467.4,488.55,436.05,483.3,483.3,6952.0,51176.22,2691200.0,300800.0,483.3,11-Aug-17
CANBK,327.95,334.4,322.0,326.85,326.85,5804.0,58795.94,9520308.0,-67848.0,326.85,11-Aug-17
CANFINHOME,2769.95,2900.0,2765.15,2886.55,2886.55,816.0,5786.94,560000.0,-10750.0,2886.55,11-Aug-17
CAPF,696.0,715.85,681.95,705.9,705.9,2047.0,11479.58,2892000.0,-42400.0,705.9,11-Aug-17
CASTROLIND,370.4,382.2,370.4,374.05,374.05,776.0,4078.49,10106600.0,-102200.0,374.05,11-Aug-17
CEATLTD,1659.95,1717.55,1651.6,1697.8,1697.8,3458.0,41007.15,1635200.0,-106400.0,1697.8,11-Aug-17
CENTURYTEX,1153.55,1202.4,1123.7,1179.3,1179.3,7167.0,46219.56,7703300.0,-119900.0,1179.3,11-Aug-17
CESC,908.25,934.3,894.25,919.3,919.3,1743.0,17619.16,6171000.0,-166100.0,919.3,11-Aug-17
CGPOWER,71.15,81.55,67.6,77.4,77.4,1741.0,15647.43,20400000.0,2376000.0,77.4,11-Aug-17
CHENNPETRO,351.0,375.95,351.0,367.8,367.8,927.0,5097.89,2535000.0,-286500.0,367.8,11-Aug-17
CHOLAFIN,1121.1,1165.45,1114.8,1144.5,1144.5,412.0,2366.83,285500.0,-15500.0,1144.5,11-Aug-17
CIPLA,545.85,564.65,528.8,545.75,545.75,12774.0,70038.84,7513000.0,-468000.0,545.75,11-Aug-17
COALINDIA,237.5,240.35,234.25,236.3,236.3,3954.0,15917.68,25013800.0,-190400.0,236.3,11-Aug-17
COLPAL,1056.0,1062.5,1041.0,1049.5,1049.5,431.0,3160.78,1335600.0,-37800.0,1049.5,11-Aug-17
CONCOR,1134.0,1162.95,1090.05,1156.85,1156.85,1017.0,7206.07,930000.0,-23750.0,1156.85,11-Aug-17
CUMMINSIND,880.8,913.9,873.0,895.55,895.55,559.0,3002.56,575400.0,-17400.0,895.55,11-Aug-17
DABUR,305.0,308.25,302.2,304.25,304.25,686.0,5223.54,12785000.0,-235000.0,304.25,11-Aug-17
DALMIABHA,2390.05,2527.0,2376.2,2483.5,2483.5,923.0,6815.54,715200.0,5700.0,2483.5,11-Aug-17
DCBBANK,170.3,178.3,166.25,173.9,173.9,1337.0,10418.75,7173000.0,-783000.0,173.9,11-Aug-17
DHFL,401.25,422.45,393.35,418.6,418.6,7789.0,48165.9,17611500.0,-15000.0,418.6,11-Aug-17
DISHTV,71.05,72.0,70.0,71.55,71.55,952.0,4732.24,17360000.0,-854000.0,71.55,11-Aug-17
DIVISLAB,619.95,641.3,610.0,628.55,628.55,2230.0,11221.92,6953600.0,-90400.0,628.55,11-Aug-17
DLF,159.05,165.9,152.1,155.3,155.3,4232.0,33903.93,41290000.0,-3530000.0,155.3,11-Aug-17
DRREDDY,1932.15,2037.85,1907.4,2018.7,2018.7,15574.0,61696.44,4518400.0,-373600.0,2018.7,11-Aug-17
EICHERMOT,29724.9,30207.55,29275.0,29643.75,29643.75,4317.0,32018.58,135275.0,-1925.0,29643.75,11-Aug-17
ENGINERSIN,142.7,150.75,142.0,149.25,149.25,1682.0,8703.37,11735500.0,-829500.0,149.25,11-Aug-17
EQUITAS,153.1,157.25,150.1,156.35,156.35,757.0,3741.65,6691200.0,-28800.0,156.35,11-Aug-17
ESCORTS,575.15,607.35,547.15,593.95,593.95,7314.0,46542.99,4799300.0,-187000.0,593.95,11-Aug-17
EXIDEIND,196.65,207.0,194.95,203.35,203.35,2013.0,16315.42,13896000.0,-696000.0,203.35,11-Aug-17
FEDERALBNK,102.8,106.95,100.75,105.9,105.9,4828.0,55557.84,66154000.0,-5027000.0,105.9,11-Aug-17
FORTIS,149.5,158.75,148.5,152.45,152.45,2740.0,11291.58,42940800.0,-2062800.0,152.45,11-Aug-17
GAIL,357.1,371.1,355.6,366.8,366.8,2902.0,21153.16,9556000.0,-84000.0,366.8,11-Aug-17
GLENMARK,604.95,624.4,595.0,617.65,617.65,2527.0,10849.6,5153400.0,-25900.0,617.65,11-Aug-17
GMRINFRA,15.5,16.25,15.1,15.6,15.6,1855.0,13069.75,316350000.0,-855000.0,15.6,11-Aug-17
GODFRYPHLP,874.3,918.8,836.6,900.5,900.5,854.0,3751.13,763000.0,-34500.0,900.5,11-Aug-17
GODREJCP,893.75,923.0,865.15,905.55,905.55,1506.0,10780.71,2112800.0,-68000.0,905.55,11-Aug-17
GODREJIND,569.75,590.5,550.25,560.8,560.8,1491.0,12747.27,2860500.0,142500.0,560.8,11-Aug-17
GRANULES,103.05,111.85,101.5,109.0,109.0,1352.0,7250.13,12660000.0,-1040000.0,109.0,11-Aug-17
GRASIM,1050.0,1082.7,1048.0,1063.35,1063.35,1431.0,11452.22,2328000.0,-17250.0,1063.35,11-Aug-17
GSFC,115.75,122.9,113.2,121.4,121.4,1549.0,8318.44,14040000.0,-211500.0,121.4,11-Aug-17
HAVELLS,462.25,471.4,451.3,460.55,460.55,1474.0,13642.44,3112000.0,-130000.0,460.55,11-Aug-17
HCC,33.25,34.65,32.65,33.95,33.95,480.0,1935.95,25092000.0,-480000.0,33.95,11-Aug-17
HCLTECH,881.65,893.25,868.25,874.95,874.95,2307.0,14165.47,5639900.0,70700.0,874.95,11-Aug-17
HDFC,1695.2,1717.05,1688.4,1698.95,1698.95,6523.0,55428.24,8877000.0,-55000.0,1698.95,11-Aug-17
HDFCBANK,1750.05,1763.8,1738.5,1756.3,1756.3,12722.0,111496.98,19275000.0,37000.0,1756.3,11-Aug-17
HDIL,55.25,60.4,54.0,58.7,58.7,4432.0,20544.34,30744000.0,2832000.0,58.7,11-Aug-17
HEROMOTOCO,3900.0,3900.0,3815.05,3849.5,3849.5,2252.0,17331.94,843800.0,4600.0,3849.5,11-Aug-17
HEXAWARE,251.85,259.55,247.9,254.85,254.85,776.0,5929.25,1794000.0,-114000.0,254.85,11-Aug-17
HINDALCO,234.9,236.0,218.7,222.15,222.15,18869.0,150247.25,37873500.0,-682500.0,222.15,11-Aug-17
HINDPETRO,407.2,439.0,400.15,430.25,430.25,10929.0,72953.27,26236350.0,696150.0,430.25,11-Aug-17
HINDUNILVR,1170.0,1180.0,1149.1,1157.65,1157.65,2941.0,20533.83,8651400.0,-264000.0,1157.65,11-Aug-17
HINDZINC,279.5,282.0,268.35,271.15,271.15,2009.0,17839.15,9942400.0,-35200.0,271.15,11-Aug-17
IBREALEST,219.5,232.5,217.1,226.35,226.35,1193.0,26944.98,40180000.0,-340000.0,226.35,11-Aug-17
IBULHSGFIN,1141.0,1161.0,1131.3,1154.45,1154.45,4226.0,38864.97,7351200.0,-45600.0,1154.45,11-Aug-17
ICICIBANK,284.5,291.0,281.55,288.3,288.3,12973.0,102501.58,90213750.0,1240250.0,288.3,11-Aug-17
ICICIPRULI,409.45,430.85,403.05,428.55,428.55,1151.0,6272.67,4239300.0,-105300.0,428.55,11-Aug-17
ICIL,127.95,129.0,107.55,115.65,115.65,4526.0,18911.52,8869000.0,-35000.0,115.65,11-Aug-17
IDBI,52.7,54.25,52.1,52.65,52.65,1536.0,6540.36,32944000.0,-216000.0,52.65,11-Aug-17
IDEA,86.05,89.25,85.7,86.7,86.7,2358.0,14463.09,58198000.0,-133000.0,86.7,11-Aug-17
IDFC,53.75,55.45,53.0,53.85,53.85,1931.0,13815.58,115882800.0,-2349600.0,53.85,11-Aug-17
IDFCBANK,53.6,54.45,52.65,53.3,53.3,1857.0,8960.38,96084000.0,-1827000.0,53.3,11-Aug-17
IFCI,20.7,22.2,20.65,21.75,21.75,1703.0,8061.2,79046000.0,2134000.0,21.75,11-Aug-17
IGL,1182.25,1234.95,1180.15,1221.7,1221.7,3238.0,21577.03,1019700.0,142450.0,1221.7,11-Aug-17
INDIACEM,170.6,183.15,167.9,176.2,176.2,5501.0,34196.76,25868500.0,378000.0,176.2,11-Aug-17
INDIANB,270.1,285.5,262.2,280.05,280.05,2268.0,12477.45,3766000.0,-348000.0,280.05,11-Aug-17
INDIGO,1205.0,1237.9,1185.05,1215.15,1215.15,1646.0,11953.49,1635600.0,27000.0,1215.15,11-Aug-17
INDUSINDBK,1620.7,1641.05,1606.0,1633.9,1633.9,3934.0,38314.87,4383000.0,145200.0,1633.9,11-Aug-17
INFIBEAM,1330.0,1408.6,1308.95,1386.1,1386.1,1524.0,8364.25,4426400.0,44800.0,1386.1,11-Aug-17
INFRATEL,381.95,385.65,378.0,384.3,384.3,1338.0,8687.11,11102700.0,-459000.0,384.3,11-Aug-17
INFY,974.3,997.6,972.7,988.75,988.75,11934.0,58881.69,26148500.0,-280500.0,988.75,11-Aug-17
IOC,406.3,416.45,404.0,413.15,413.15,6341.0,39060.12,20865000.0,-370500.0,413.15,11-Aug-17
IRB,194.75,206.65,194.75,203.75,203.75,2600.0,13114.09,19337500.0,-807500.0,203.75,11-Aug-17
ITC,272.4,274.85,270.7,272.15,272.15,6809.0,44606.84,50887200.0,-528000.0,272.15,11-Aug-17
JETAIRWAYS,545.15,576.35,523.0,557.6,557.6,4023.0,26864.59,3349200.0,-193200.0,557.6,11-Aug-17
JINDALSTEL,121.65,130.7,114.5,128.45,128.45,2900.0,16309.46,35032500.0,-2943000.0,128.45,11-Aug-17
JISLJALEQS,90.85,93.7,86.0,92.2,92.2,795.0,6397.38,35586000.0,-1890000.0,92.2,11-Aug-17
JPASSOCIAT,21.35,22.35,19.4,21.4,21.4,2699.0,38601.72,167552000.0,6868000.0,21.4,11-Aug-17
JSWENERGY,63.75,66.5,61.6,64.25,64.25,1208.0,6578.52,54935500.0,-2754000.0,64.25,11-Aug-17
JSWSTEEL,222.55,226.6,218.3,224.0,224.0,4070.0,27283.98,52602000.0,405000.0,224.0,11-Aug-17
JUBLFOOD,1290.7,1333.85,1271.05,1296.6,1296.6,4694.0,30572.54,1751500.0,-13000.0,1296.6,11-Aug-17
JUSTDIAL,334.8,345.5,330.15,341.85,341.85,2068.0,8414.69,4762800.0,-10800.0,341.85,11-Aug-17
KAJARIACER,611.0,637.0,605.0,626.1,626.1,205.0,1018.57,475200.0,-26400.0,626.1,11-Aug-17
KOTAKBANK,986.95,999.7,977.75,993.25,993.25,6688.0,52983.18,8700800.0,-335200.0,993.25,11-Aug-17
KPIT,105.25,113.75,104.0,110.1,110.1,926.0,4077.41,12588000.0,-304000.0,110.1,11-Aug-17
KSCL,510.95,552.85,496.65,522.45,522.45,3392.0,26676.05,4077000.0,340500.0,522.45,11-Aug-17
KTKBANK,135.4,143.4,134.45,139.05,139.05,3034.0,16063.29,23696800.0,-1067800.0,139.05,11-Aug-17
L&TFH,162.15,168.0,158.6,163.85,163.85,4366.0,32120.39,14215500.0,-36000.0,163.85,11-Aug-17
LICHSGFIN,651.45,671.95,643.45,655.0,655.0,4627.0,33521.79,6025800.0,-525800.0,655.0,11-Aug-17
LT,1139.0,1147.45,1127.35,1136.25,1136.25,4826.0,41164.56,8973750.0,-143250.0,1136.25,11-Aug-17
LUPIN,932.95,959.0,915.0,944.25,944.25,8630.0,32551.89,8721200.0,-49600.0,944.25,11-Aug-17
M&M,1378.3,1390.6,1342.0,1348.85,1348.85,3815.0,26008.32,3581000.0,35500.0,1348.85,11-Aug-17
M&MFIN,405.5,418.7,388.0,414.1,414.1,6534.0,65613.82,7397500.0,-320000.0,414.1,11-Aug-17
MANAPPURAM,87.0,87.6,81.75,85.45,85.45,3406.0,17430.13,28056000.0,-1584000.0,85.45,11-Aug-17
MARICO,319.6,324.9,317.35,321.55,321.55,525.0,4392.51,4196400.0,46800.0,321.55,11-Aug-17
MARUTI,7476.35,7482.55,7326.1,7406.7,7406.7,10320.0,114801.17,1795350.0,-8700.0,7406.7,11-Aug-17
MCDOWELL-N,2467.45,2524.95,2425.0,2429.8,2429.8,3063.0,18861.43,1922000.0,115000.0,2429.8,11-Aug-17
MCX,1005.45,1038.35,976.5,1026.85,1026.85,1119.0,5703.11,1287000.0,-64000.0,1026.85,11-Aug-17
MFSL,586.75,617.9,585.1,611.9,611.9,1114.0,6773.08,3277000.0,-46000.0,611.9,11-Aug-17
MGL,959.9,997.9,923.45,989.9,989.9,816.0,4750.16,901200.0,-69000.0,989.9,11-Aug-17
MINDTREE,450.0,461.55,441.65,457.4,457.4,738.0,4028.32,4621200.0,-138000.0,457.4,11-Aug-17
MOTHERSUMI,309.0,323.95,305.35,322.15,322.15,2411.0,28497.25,6922500.0,-243750.0,322.15,11-Aug-17
MRF,63122.55,65300.0,62651.05,64058.0,64058.0,1703.0,16325.65,47580.0,-2025.0,64058.0,11-Aug-17
MRPL,116.4,121.15,114.5,118.65,118.65,1167.0,6201.04,8406000.0,-85500.0,118.65,11-Aug-17
MUTHOOTFIN,425.85,454.0,416.9,444.7,444.7,1416.0,9401.28,2301000.0,-217500.0,444.7,11-Aug-17
NATIONALUM,63.65,65.35,62.0,62.5,62.5,540.0,2748.54,12480000.0,-568000.0,62.5,11-Aug-17
NBCC,192.15,203.7,188.7,200.05,200.05,975.0,5772.75,3342000.0,-417000.0,200.05,11-Aug-17
NCC,80.4,85.85,79.9,83.2,83.2,1706.0,11367.02,22312000.0,-1752000.0,83.2,11-Aug-17
NESTLEIND,6510.05,6592.05,6510.05,6552.4,6552.4,127.0,832.86,80500.0,400.0,6552.4,11-Aug-17
NHPC,29.7,30.45,29.5,30.25,30.25,312.0,2523.97,21654000.0,-1566000.0,30.25,11-Aug-17
NIITTECH,461.7,494.05,461.15,481.15,481.15,427.0,3092.92,1353000.0,-135000.0,481.15,11-Aug-17
NMDC,120.1,123.75,115.95,117.65,117.65,3140.0,22551.52,24078000.0,-1800000.0,117.65,11-Aug-17
NTPC,171.8,173.65,168.2,169.7,169.7,2053.0,14028.97,19652000.0,-196000.0,169.7,11-Aug-17
OFSS,3469.9,3499.45,3428.05,3480.85,3480.85,164.0,855.19,67500.0,-750.0,3480.85,11-Aug-17
OIL,277.65,288.2,273.9,279.1,279.1,628.0,4003.19,1901174.0,-95172.0,279.1,11-Aug-17
ONGC,161.95,162.6,159.35,160.4,160.4,3687.0,22287.89,48513750.0,1233750.0,160.4,11-Aug-17
ORIENTBANK,124.65,128.5,116.4,118.3,118.3,3672.0,26869.36,16740000.0,486000.0,118.3,11-Aug-17
PAGEIND,16099.95,16229.85,15071.2,15866.05,15866.05,507.0,4007.47,32950.0,-1550.0,15866.05,11-Aug-17
PCJEWELLER,290.15,300.95,282.45,297.4,297.4,1928.0,17013.48,3957000.0,-183000.0,297.4,11-Aug-17
PEL,2700.0,2788.35,2650.0,2711.0,2711.0,1820.0,14802.98,813900.0,22800.0,2711.0,11-Aug-17
PETRONET,208.45,213.45,204.65,211.15,211.15,3244.0,20468.09,12993000.0,-60000.0,211.15,11-Aug-17
PFC,117.65,121.55,115.55,117.95,117.95,5708.0,40646.35,39672000.0,-342000.0,117.95,11-Aug-17
PIDILITIND,780.0,786.9,772.75,785.1,785.1,646.0,5043.66,986000.0,-3000.0,785.1,11-Aug-17
PNB,139.0,145.25,137.75,140.6,140.6,13200.0,65477.12,24524500.0,-609000.0,140.6,11-Aug-17
POWERGRID,215.1,221.1,215.1,219.05,219.05,1216.0,10642.43,10640000.0,-620000.0,219.05,11-Aug-17
PTC,106.15,112.7,101.95,109.05,109.05,1975.0,17211.55,13688000.0,-288000.0,109.05,11-Aug-17
PVR,1304.9,1342.0,1260.7,1291.2,1291.2,1017.0,5272.98,642800.0,60000.0,1291.2,11-Aug-17
RAMCOCEM,652.95,667.8,651.3,662.5,662.5,161.0,850.1,520800.0,-9600.0,662.5,11-Aug-17
RAYMOND,715.0,738.3,686.0,719.45,719.45,1101.0,6305.99,2048800.0,-26400.0,719.45,11-Aug-17
RBLBANK,479.85,490.8,467.65,483.9,483.9,2049.0,9853.92,14474000.0,111000.0,483.9,11-Aug-17
RCOM,20.8,21.4,19.9,20.9,20.9,1984.0,5781.24,98126000.0,-476000.0,20.9,11-Aug-17
RDEL,49.65,52.35,48.85,51.5,51.5,522.0,2368.68,14598000.0,-117000.0,51.5,11-Aug-17
RECLTD,161.15,168.65,154.95,165.35,165.35,5016.0,49122.64,36084000.0,-1998000.0,165.35,11-Aug-17
RELCAPITAL,748.05,766.75,717.25,752.05,752.05,16219.0,182421.54,10714500.0,352500.0,752.05,11-Aug-17
RELIANCE,1568.7,1586.25,1540.25,1554.55,1554.55,20840.0,163033.16,13304000.0,-56000.0,1554.55,11-Aug-17
RELINFRA,464.7,476.6,450.6,468.9,468.9,7157.0,43389.4,9215700.0,71500.0,468.9,11-Aug-17
REPCOHOME,628.0,647.7,621.0,637.7,637.7,260.0,1155.06,672000.0,27300.0,637.7,11-Aug-17
RPOWER,38.5,39.35,37.7,38.8,38.8,880.0,4079.22,59904000.0,300000.0,38.8,11-Aug-17
SAIL,58.2,58.55,56.15,56.6,56.6,2301.0,15859.61,51852000.0,396000.0,56.6,11-Aug-17
SBIN,294.1,304.3,278.5,281.25,281.25,73813.0,639581.63,75375000.0,9750000.0,281.25,11-Aug-17
SHREECEM,17250.0,17812.5,16752.75,17557.3,17557.3,213.0,1842.13,28700.0,-2150.0,17557.3,11-Aug-17
SIEMENS,1274.2,1297.05,1255.0,1284.2,1284.2,930.0,5932.8,495000.0,7000.0,1284.2,11-Aug-17
SINTEX,25.6,29.2,24.85,28.45,28.45,4208.0,8238.78,17377875.0,-2094750.0,28.45,11-Aug-17
SOUTHBANK,25.95,27.1,25.45,26.35,26.35,1306.0,11404.71,102206844.0,-265128.0,26.35,11-Aug-17
SREINFRA,105.05,113.8,104.3,111.35,111.35,520.0,2855.41,8905000.0,-150000.0,111.35,11-Aug-17
SRF,1438.6,1505.95,1431.45,1480.75,1480.75,1190.0,8796.08,675500.0,-79500.0,1480.75,11-Aug-17
SRTRANSFIN,913.2,959.9,913.2,954.0,954.0,2322.0,13192.38,5521200.0,-200400.0,954.0,11-Aug-17
STAR,925.0,960.0,865.0,875.05,875.05,3473.0,15608.39,2031500.0,56500.0,875.05,11-Aug-17
SUNPHARMA,460.0,464.9,445.2,451.7,451.7,17734.0,64617.35,39352000.0,844000.0,451.7,11-Aug-17
SUNTV,667.3,718.0,665.05,705.6,705.6,5304.0,37061.17,7638000.0,-415000.0,705.6,11-Aug-17
SUZLON,15.3,15.75,14.45,15.3,15.3,4570.0,20858.18,526650000.0,-9930000.0,15.3,11-Aug-17
SYNDIBANK,63.1,64.05,61.1,62.65,62.65,1695.0,9566.59,19341000.0,-288000.0,62.65,11-Aug-17
TATACHEM,565.0,584.0,562.1,579.45,579.45,1164.0,10054.01,4336500.0,-223500.0,579.45,11-Aug-17
TATACOMM,581.0,616.0,570.55,587.25,587.25,3837.0,16065.16,9228100.0,-41300.0,587.25,11-Aug-17
TATAELXSI,1606.1,1640.05,1587.7,1608.85,1608.85,1251.0,8073.95,1236000.0,-14400.0,1608.85,11-Aug-17
TATAGLOBAL,155.45,165.25,151.95,164.7,164.7,4880.0,35242.09,29151000.0,-553500.0,164.7,11-Aug-17
TATAMOTORS,377.5,380.4,360.2,375.95,375.95,17608.0,98395.02,42762000.0,-1255500.0,375.95,11-Aug-17
TATAMTRDVR,218.55,224.2,213.35,223.45,223.45,3327.0,15384.99,20397300.0,-1203300.0,223.45,11-Aug-17
TATAPOWER,76.65,77.05,76.05,76.8,76.8,637.0,4391.13,25758000.0,-288000.0,76.8,11-Aug-17
TATASTEEL,605.15,607.9,591.75,597.5,597.5,16188.0,194291.69,23420000.0,290000.0,597.5,11-Aug-17
TCS,2516.15,2548.0,2495.6,2506.75,2506.75,4983.0,31365.37,5282750.0,-40000.0,2506.75,11-Aug-17
TECHM,403.55,413.5,402.25,403.5,403.5,2686.0,12032.48,8111400.0,-39600.0,403.5,11-Aug-17
TITAN,603.8,619.0,603.1,609.55,609.55,2730.0,25003.69,5320500.0,-117000.0,609.55,11-Aug-17
TORNTPHARM,1216.8,1246.95,1200.05,1221.15,1221.15,323.0,1575.98,221600.0,-17200.0,1221.15,11-Aug-17
TORNTPOWER,187.25,195.45,184.0,193.95,193.95,1085.0,6233.11,6324000.0,-147000.0,193.95,11-Aug-17
TV18BRDCST,34.95,36.0,34.6,35.4,35.4,711.0,4262.18,82807000.0,-221000.0,35.4,11-Aug-17
TVSMOTOR,567.35,575.0,521.8,530.35,530.35,7751.0,84420.13,5570000.0,854000.0,530.35,11-Aug-17
UBL,817.0,826.95,777.0,788.2,788.2,1575.0,8899.64,1246000.0,-98700.0,788.2,11-Aug-17
UJJIVAN,303.6,316.25,302.45,311.05,311.05,1901.0,7063.76,7542000.0,-286800.0,311.05,11-Aug-17
ULTRACEMCO,3900.0,3977.85,3858.15,3929.75,3929.75,2889.0,22660.79,1430800.0,800.0,3929.75,11-Aug-17
